Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2026-04-16 01:52:21,,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-16 01:52:21,,UTC+05:30,Consumed caffeine?,true,
2026-04-16 01:52:21,,UTC+05:30,Hydrated sufficiently?,true,
2026-04-16 01:52:21,,UTC+05:30,Ate food close to bedtime?,true,
2026-04-16 01:52:21,,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-15 02:45:54,2026-04-16 01:52:21,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-15 02:45:54,2026-04-16 01:52:21,UTC+05:30,Consumed caffeine?,true,
2026-04-15 02:45:54,2026-04-16 01:52:21,UTC+05:30,Hydrated sufficiently?,true,
2026-04-15 02:45:54,2026-04-16 01:52:21,UTC+05:30,Ate food close to bedtime?,false,
2026-04-15 02:45:54,2026-04-16 01:52:21,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-14 01:01:17,2026-04-15 02:45:54,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-14 01:01:17,2026-04-15 02:45:54,UTC+05:30,Consumed caffeine?,true,
2026-04-14 01:01:17,2026-04-15 02:45:54,UTC+05:30,Hydrated sufficiently?,true,
2026-04-14 01:01:17,2026-04-15 02:45:54,UTC+05:30,Ate food close to bedtime?,false,
2026-04-14 01:01:17,2026-04-15 02:45:54,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-13 00:25:50,2026-04-14 01:01:17,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-13 00:25:50,2026-04-14 01:01:17,UTC+05:30,Consumed caffeine?,true,
2026-04-13 00:25:50,2026-04-14 01:01:17,UTC+05:30,Hydrated sufficiently?,true,
2026-04-13 00:25:50,2026-04-14 01:01:17,UTC+05:30,Ate food close to bedtime?,false,
2026-04-13 00:25:50,2026-04-14 01:01:17,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-12 00:31:55,2026-04-13 00:25:50,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-12 00:31:55,2026-04-13 00:25:50,UTC+05:30,Consumed caffeine?,true,
2026-04-12 00:31:55,2026-04-13 00:25:50,UTC+05:30,Hydrated sufficiently?,true,
2026-04-12 00:31:55,2026-04-13 00:25:50,UTC+05:30,Ate food close to bedtime?,true,
2026-04-12 00:31:55,2026-04-13 00:25:50,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-11 01:48:35,2026-04-12 00:31:55,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-11 01:48:35,2026-04-12 00:31:55,UTC+05:30,Consumed caffeine?,true,
2026-04-11 01:48:35,2026-04-12 00:31:55,UTC+05:30,Ate food close to bedtime?,true,
2026-04-11 01:48:35,2026-04-12 00:31:55,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-10 00:41:15,2026-04-11 01:48:35,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-10 00:41:15,2026-04-11 01:48:35,UTC+05:30,Consumed caffeine?,true,
2026-04-10 00:41:15,2026-04-11 01:48:35,UTC+05:30,Ate food close to bedtime?,true,
2026-04-10 00:41:15,2026-04-11 01:48:35,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-09 01:17:10,2026-04-10 00:41:15,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-09 01:17:10,2026-04-10 00:41:15,UTC+05:30,Consumed caffeine?,true,
2026-04-09 01:17:10,2026-04-10 00:41:15,UTC+05:30,Ate food close to bedtime?,true,
2026-04-09 01:17:10,2026-04-10 00:41:15,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-08 00:52:45,2026-04-09 01:17:10,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-08 00:52:45,2026-04-09 01:17:10,UTC+05:30,Consumed caffeine?,true,
2026-04-08 00:52:45,2026-04-09 01:17:10,UTC+05:30,Ate food close to bedtime?,true,
2026-04-08 00:52:45,2026-04-09 01:17:10,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-07 01:39:41,2026-04-08 00:52:45,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-07 01:39:41,2026-04-08 00:52:45,UTC+05:30,Consumed caffeine?,true,
2026-04-07 01:39:41,2026-04-08 00:52:45,UTC+05:30,Ate food close to bedtime?,true,
2026-04-07 01:39:41,2026-04-08 00:52:45,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-06 00:48:43,2026-04-07 01:39:41,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-06 00:48:43,2026-04-07 01:39:41,UTC+05:30,Ate food close to bedtime?,true,
2026-04-06 00:48:43,2026-04-07 01:39:41,UTC+05:30,Consumed caffeine?,true,
2026-04-06 00:48:43,2026-04-07 01:39:41,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-05 01:29:31,2026-04-06 00:48:43,UTC+05:30,Read (non-screened device) while in bed?,false,
2026-04-05 01:29:31,2026-04-06 00:48:43,UTC+05:30,Ate food close to bedtime?,true,
2026-04-05 01:29:31,2026-04-06 00:48:43,UTC+05:30,Consumed caffeine?,true,
2026-04-05 01:29:31,2026-04-06 00:48:43,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-04 02:13:52,2026-04-05 01:29:31,UTC+05:30,Have any alcoholic drinks?,false,
2026-04-04 02:13:52,2026-04-05 01:29:31,UTC+05:30,Consumed caffeine?,true,
2026-04-04 02:13:52,2026-04-05 01:29:31,UTC+05:30,Ate food close to bedtime?,false,
2026-04-04 02:13:52,2026-04-05 01:29:31,UTC+05:30,Read (non-screened device) while in bed?,false,
